time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-01-25,47478.24,45081.61,46106.32,120.65,5599255.97,46618.36,direct,
2022-01-26,48930.68,45982.29,46618.36,82.72,3926541.8,46624.27,direct,
2022-01-27,47394.5,45127.85,46624.27,90.25,4186550.97,47360.57,direct,
2022-01-28,48504.13,46270.81,47360.57,52.32,2470800.03,48239.54,direct,
2022-01-29,49451.62,47694.88,48239.54,50.26,2430004.22,48680.82,direct,
2022-01-30,48929.83,47774.95,48680.82,26.44,1282767.09,48422.88,direct,
2022-01-31,49210.36,46802.65,48422.88,36.93,1774310.57,48850.17,direct,
2022-02-01,49726.17,48286.15,48850.17,63.68,3121542.09,49220.48,direct,
2022-02-02,49315.77,46418.56,49220.48,112.99,5424804.76,46904.84,direct,
2022-02-03,47317.21,46095.83,46904.84,44.91,2095622.64,47261.64,direct,
2022-02-04,53210.84,47019.4,47261.64,94.62,4720569.68,53145.93,direct,
2022-02-05,53465.11,52294.32,53145.93,49.1,2603314.01,52870.59,direct,
2022-02-06,54323.58,52677.09,52870.59,31.47,1674200.23,54090.29,direct,
2022-02-07,56511.34,53155.83,54090.29,89.38,4925012.82,55610.37,direct,
2022-02-08,57761.68,54261.58,55610.37,63.5,3540453.45,56015.37,direct,
2022-02-09,56839.77,54828.63,56015.37,59.14,3301664.85,56225.88,direct,
2022-02-10,57872.29,55046.82,56225.88,54.81,3094758.11,55415.72,direct,
2022-02-11,55803.25,53511.61,55415.72,59.52,3257043.14,53975.79,direct,
2022-02-12,54751.37,53219.65,53975.79,27.92,1504514.41,53754.36,direct,
2022-02-13,54393.24,53337.45,53754.36,29.25,1572754.59,53654.47,direct,
2022-02-14,54553.34,52988.2,53654.47,42.9,2304341.82,54251.63,direct,
2022-02-15,56907.39,54101.71,54251.63,43.01,2400722.36,56830.26,direct,
2022-02-16,56830.26,55002.78,56830.26,27.51,1534642.79,55808.91,direct,
2022-02-17,56013.87,50895.23,55808.91,40.97,2196056.98,51451.49,direct,
2022-02-18,51991.63,50356.48,51451.49,53.24,2724710.75,51016.33,direct,
2022-02-19,51566.78,50563.12,51016.33,28.45,1449792.89,51110.88,direct,
2022-02-20,51110.88,48423.56,51110.88,48.37,2396889.46,49010.99,direct,
